日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
109/01/02,"1,124,232","8,183,676",7.26,7.29,7.25,7.28,+0.07,507,
109/01/03,"1,665,314","12,156,458",7.36,7.36,7.26,7.32,+0.04,721,
109/01/06,"1,375,475","10,064,850",7.34,7.36,7.26,7.26,-0.06,459,
109/01/07,"959,325","6,988,439",7.28,7.30,7.26,7.28,+0.02,404,
109/01/08,"768,919","5,558,814",7.28,7.28,7.20,7.20,-0.08,362,
109/01/09,"475,054","3,433,876",7.21,7.29,7.21,7.22,+0.02,226,
109/01/10,"1,101,494","7,955,642",7.22,7.25,7.19,7.23,+0.01,306,
109/01/13,"533,639","3,864,275",7.23,7.28,7.22,7.22,-0.01,241,
109/01/14,"857,724","6,209,544",7.23,7.28,7.20,7.22, 0.00,310,
109/01/15,"869,982","6,288,500",7.22,7.25,7.20,7.25,+0.03,251,
109/01/16,"1,189,559","8,663,135",7.28,7.30,7.27,7.27,+0.02,343,
109/01/17,"562,868","4,089,035",7.27,7.29,7.24,7.25,-0.02,236,
109/01/20,"2,774,357","19,980,819",7.23,7.24,7.12,7.18,-0.07,514,
109/01/30,"5,027,820","34,250,998",6.81,6.94,6.62,6.67,-0.51,961,
109/01/31,"2,508,631","16,916,828",6.50,6.88,6.50,6.77,+0.10,512,
109/02/03,"2,034,635","13,101,154",6.51,6.51,6.30,6.46,-0.31,546,
109/02/04,"2,139,876","13,822,685",6.48,6.51,6.40,6.49,+0.03,542,
109/02/05,"1,257,259","8,191,249",6.50,6.55,6.48,6.52,+0.03,340,
109/02/06,"1,735,258","11,542,853",6.55,6.69,6.55,6.68,+0.16,495,
109/02/07,"1,728,055","11,450,656",6.70,6.70,6.57,6.58,-0.10,443,
109/02/10,"1,188,604","7,698,323",6.57,6.57,6.40,6.48,-0.10,346,
109/02/11,"1,079,523","7,014,499",6.48,6.54,6.47,6.47,-0.01,351,
109/02/12,"806,624","5,269,027",6.48,6.57,6.48,6.53,+0.06,279,
109/02/13,"1,380,953","9,127,698",6.53,6.66,6.53,6.60,+0.07,509,
109/02/14,"811,295","5,342,153",6.60,6.60,6.56,6.58,-0.02,369,
109/02/17,"1,362,264","8,941,469",6.57,6.62,6.53,6.60,+0.02,398,
109/02/18,"3,881,303","26,709,356",6.60,7.01,6.60,6.99,+0.39,"1,310",
109/02/19,"3,873,204","27,709,441",7.07,7.22,7.02,7.21,+0.22,"1,175",
109/02/20,"1,931,316","13,867,899",7.25,7.30,7.10,7.14,-0.07,667,
109/02/21,"1,224,514","8,703,920",7.11,7.14,7.08,7.09,-0.05,400,
109/02/24,"2,052,786","14,358,937",7.06,7.06,6.94,6.94,-0.15,609,
109/02/25,"808,849","5,571,669",6.90,6.94,6.83,6.91,-0.03,409,
109/02/26,"1,364,439","9,355,200",6.90,6.91,6.82,6.85,-0.06,540,
109/02/27,"2,993,158","20,571,564",6.87,6.94,6.76,6.93,+0.08,890,
109/03/02,"2,062,304","13,949,724",6.78,6.84,6.71,6.77,-0.16,774,
109/03/03,"747,880","5,084,581",6.80,6.89,6.78,6.78,+0.01,265,
109/03/04,"1,663,613","11,184,158",6.72,6.86,6.66,6.86,+0.08,515,
109/03/05,"1,129,219","7,784,510",6.88,6.94,6.85,6.90,+0.04,315,
109/03/06,"1,072,578","7,312,398",6.82,6.90,6.78,6.81,-0.09,339,
109/03/09,"2,252,217","14,958,735",6.74,6.75,6.58,6.58,-0.23,738,
109/03/10,"2,680,712","17,498,337",6.48,6.64,6.45,6.63,+0.05,695,
109/03/11,"1,317,269","8,731,595",6.68,6.69,6.55,6.55,-0.08,407,
109/03/12,"4,632,502","29,084,651",6.50,6.51,6.14,6.19,-0.36,"1,033",
109/03/13,"5,983,393","33,583,944",5.75,5.75,5.58,5.68,-0.51,"1,441",
109/03/16,"4,091,953","22,102,979",5.51,5.66,5.20,5.20,-0.48,"1,033",
109/03/17,"4,069,582","20,374,075",5.02,5.09,4.95,4.95,-0.25,"1,003",
109/03/18,"4,002,828","20,114,073",4.89,5.20,4.89,4.96,+0.01,"1,145",
109/03/19,"6,327,056","30,693,282",4.91,4.95,4.72,4.73,-0.23,"1,268",
109/03/20,"2,881,612","14,485,490",4.88,5.10,4.88,5.02,+0.29,809,
109/03/23,"1,913,279","9,329,072",4.96,4.96,4.80,4.89,-0.13,495,
109/03/24,"2,400,860","12,017,129",4.93,5.11,4.93,4.97,+0.08,588,
109/03/25,"2,822,987","14,566,465",5.10,5.22,5.07,5.15,+0.18,804,
109/03/26,"2,177,656","11,354,776",5.30,5.30,5.12,5.25,+0.10,640,
109/03/27,"2,083,213","10,961,880",5.31,5.40,5.17,5.18,-0.07,579,
109/03/30,"1,524,623","7,658,605",5.05,5.10,4.96,5.09,-0.09,398,
109/03/31,"1,894,391","9,701,707",5.10,5.18,5.06,5.08,-0.01,439,
109/04/01,"1,263,719","6,397,630",5.06,5.11,5.00,5.06,-0.02,400,
109/04/06,"1,007,951","5,068,886",5.06,5.06,5.00,5.04,-0.02,357,
109/04/07,"1,504,825","7,696,219",5.08,5.17,5.08,5.13,+0.09,495,
109/04/08,"2,932,365","15,252,643",5.15,5.25,5.13,5.24,+0.11,798,
109/04/09,"4,523,995","24,426,460",5.28,5.51,5.28,5.45,+0.21,"1,203",
109/04/10,"2,490,741","13,605,417",5.57,5.57,5.39,5.50,+0.05,685,
109/04/13,"3,005,797","16,145,595",5.50,5.51,5.33,5.36,-0.14,721,
109/04/14,"2,397,004","12,948,971",5.35,5.45,5.35,5.42,+0.06,516,
109/04/15,"8,742,574","48,105,867",5.45,5.59,5.42,5.47,+0.05,"1,625",
109/04/16,"2,445,717","13,219,521",5.42,5.45,5.37,5.41,-0.06,682,
109/04/17,"3,201,904","17,508,015",5.49,5.55,5.40,5.41, 0.00,850,
109/04/20,"1,770,340","9,619,738",5.49,5.49,5.39,5.45,+0.04,333,
109/04/21,"4,573,069","24,824,184",5.46,5.51,5.37,5.40,-0.05,881,
109/04/22,"1,411,620","7,572,496",5.35,5.42,5.30,5.40, 0.00,386,
109/04/23,"1,930,567","10,417,024",5.40,5.47,5.35,5.39,-0.01,821,
109/04/24,"1,062,080","5,741,268",5.45,5.45,5.37,5.43,+0.04,286,
109/04/27,"5,682,988","31,770,635",5.46,5.69,5.45,5.69,+0.26,"1,328",
109/04/28,"10,874,675","66,103,870",5.70,6.25,5.70,6.25,+0.56,"2,388",
109/04/29,"17,084,603","112,996,030",6.32,6.83,6.32,6.79,+0.54,"3,463",
109/04/30,"10,184,365","68,704,195",6.80,6.87,6.50,6.77,-0.02,"2,441",
109/05/04,"5,292,738","34,922,113",6.56,6.66,6.48,6.57,-0.20,"1,019",
109/05/05,"4,522,443","29,322,091",6.57,6.64,6.40,6.43,-0.14,"1,148",
109/05/06,"2,667,843","16,993,677",6.47,6.47,6.31,6.36,-0.07,721,
109/05/07,"1,812,801","11,581,435",6.32,6.45,6.31,6.38,+0.02,489,
109/05/08,"1,918,154","12,222,697",6.40,6.47,6.33,6.37,-0.01,557,
109/05/11,"2,249,139","14,503,461",6.37,6.48,6.37,6.45,+0.08,634,
109/05/12,"2,857,954","18,072,318",6.34,6.45,6.28,6.31,-0.14,724,
109/05/13,"1,644,070","10,579,107",6.27,6.59,6.26,6.59,+0.28,541,
109/05/14,"1,851,433","11,943,361",6.50,6.51,6.39,6.39,-0.20,593,
109/05/15,"1,742,479","11,040,976",6.32,6.44,6.30,6.32,-0.07,426,
109/05/18,"1,011,801","6,437,172",6.32,6.40,6.32,6.36,+0.04,318,
109/05/19,"2,180,953","14,076,797",6.44,6.51,6.40,6.45,+0.09,599,
109/05/20,"1,439,793","9,262,499",6.49,6.49,6.39,6.40,-0.05,393,
109/05/21,"8,398,669","56,710,753",6.55,6.89,6.54,6.83,+0.43,"2,108",
109/05/22,"4,785,667","32,201,809",6.69,6.82,6.66,6.68,-0.15,971,
109/05/25,"1,816,689","11,880,012",6.51,6.68,6.46,6.53,-0.15,540,
109/05/26,"1,405,181","9,255,136",6.61,6.62,6.55,6.61,+0.08,410,
109/05/27,"2,017,503","13,297,207",6.61,6.66,6.53,6.59,-0.02,455,
109/05/28,"2,271,306","14,977,313",6.60,6.67,6.52,6.53,-0.06,564,
109/05/29,"2,362,514","15,556,114",6.53,6.71,6.47,6.50,-0.03,550,
109/06/01,"1,531,252","10,090,671",6.53,6.61,6.53,6.59,+0.09,417,
109/06/02,"1,567,332","10,268,587",6.58,6.60,6.51,6.58,-0.01,357,
109/06/03,"1,801,516","11,914,173",6.57,6.65,6.57,6.61,+0.03,495,
109/06/04,"2,838,397","18,865,379",6.63,6.72,6.60,6.65,+0.04,756,
109/06/05,"6,307,194","42,790,714",6.64,6.88,6.64,6.85,+0.20,"1,445",
109/06/08,"3,559,328","24,382,134",6.95,6.97,6.80,6.85, 0.00,"1,021",
109/06/09,"3,021,230","20,694,426",6.85,6.93,6.79,6.89,+0.04,811,
109/06/10,"2,726,668","18,639,616",6.87,6.89,6.80,6.84,-0.05,633,
109/06/11,"3,550,955","23,731,312",6.84,6.84,6.54,6.54,-0.30,998,
109/06/12,"2,565,767","16,376,968",6.36,6.45,6.31,6.42,-0.12,675,
109/06/15,"2,047,194","13,039,623",6.45,6.45,6.32,6.42, 0.00,547,
109/06/16,"2,397,474","15,741,270",6.55,6.64,6.49,6.59,+0.17,598,
109/06/17,"906,601","5,963,283",6.62,6.64,6.55,6.55,-0.04,327,
109/06/18,"1,608,677","10,432,421",6.59,6.59,6.44,6.49,-0.06,475,
109/06/19,"1,884,807","12,299,611",6.47,6.59,6.45,6.59,+0.10,437,
109/06/22,"2,254,180","14,937,953",6.59,6.70,6.55,6.59, 0.00,586,
109/06/23,"1,357,583","8,937,684",6.61,6.65,6.54,6.59, 0.00,403,
